date,LAI,tmmx,tmmn,pr,srad,vpd,sph,vs,lat,lon,source_file
2000-02-18,2.189861806413602,297.6,280.1,0.36250000000000004,203.58750000000003,0.905,0.00719875,3.5875000000000004,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000049.regrid.nc
2000-02-26,2.1979915341399217,298.5375,282.21250000000003,1.8250000000000002,205.4875,0.94,0.007841250000000001,3.4000000000000004,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000057.regrid.nc
2000-03-05,2.48356680779149,298.9375,281.7,1.4625000000000001,238.925,0.99625,0.007736250000000001,3.1375000000000006,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000065.regrid.nc
2000-03-13,2.3676166382454062,298.4875,282.95000000000005,1.975,223.10000000000002,0.8725,0.00864,4.9375,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000073.regrid.nc
2000-03-21,2.4939393296684242,298.70000000000005,283.9125,2.0,232.0625,0.94125,0.008332500000000001,3.8875,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000081.regrid.nc
2000-03-29,2.697012619993208,299.4,283.975,6.050000000000001,231.71250000000003,0.91125,0.009263750000000001,4.075,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000089.regrid.nc
2000-04-06,3.0589657002514743,299.2125,279.4375,0.45,266.4125,1.06375,0.007067500000000001,3.5250000000000004,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000097.regrid.nc
2000-04-14,3.3885354187551466,300.175,285.85,1.3875000000000002,248.95,1.01875,0.009523750000000001,3.6625000000000005,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000105.regrid.nc
2000-04-22,3.621352164339473,298.5875,283.8625,4.9,260.35,0.9975,0.00795125,3.9125000000000005,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000113.regrid.nc
2000-04-30,4.0401159771364785,302.6,286.7625,0.0,320.25,1.235,0.0099475,2.925,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000121.regrid.nc
2000-05-08,4.559969933181513,306.3125,290.125,0.4,319.1625,1.49875,0.01249625,3.2875000000000005,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000129.regrid.nc
2000-05-16,4.840821876861932,305.75,289.9625,0.8500000000000001,299.86250000000007,1.47625,0.0121075,3.6,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000137.regrid.nc
2000-05-24,4.628691998142236,306.98749999999995,292.3125,0.38750000000000007,312.1875,1.5612500000000002,0.013771250000000002,5.2125,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000145.regrid.nc
2000-06-01,5.316112953599984,307.7625,289.9125,0.7250000000000001,317.4,1.7125,0.012525000000000001,3.5875,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000153.regrid.nc
2000-06-09,5.334545575086491,306.45,291.85,4.1000000000000005,274.32500000000005,1.3725,0.014159999999999999,3.0875000000000004,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000161.regrid.nc
2000-06-17,5.250565372749322,306.36249999999995,295.51250000000005,9.787500000000001,220.97500000000002,1.16625,0.016890000000000002,2.2,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000169.regrid.nc
2000-06-25,4.434825211444406,305.75,293.825,3.1875,261.21250000000003,1.1675,0.015558750000000001,3.0375000000000005,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000177.regrid.nc
2000-07-03,5.502319667886525,308.3375,291.975,0.0,334.625,1.5575,0.014810000000000002,3.25,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000185.regrid.nc
2000-07-11,5.290372063979243,308.425,294.8125,6.625,274.32500000000005,1.3625000000000003,0.017343749999999998,3.8625000000000003,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000193.regrid.nc
2000-07-19,5.088959766002797,306.9125,294.9375,8.037500000000001,238.8625,1.22,0.01699875,2.8375,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000201.regrid.nc
2000-07-27,3.9258287160586205,305.4,294.625,9.8125,241.8375,0.9975,0.016667500000000002,2.35,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000209.regrid.nc
2000-08-04,4.954159873341717,307.1875,295.3,3.1875,258.0625,1.23125,0.0171375,2.2125000000000004,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000217.regrid.nc
2000-08-12,4.164706131974523,307.88750000000005,292.625,2.475,319.725,1.46625,0.015163750000000002,2.75,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000225.regrid.nc
2000-08-20,4.406408143843318,305.8625,293.7625,4.325,248.75,1.06375,0.016265,2.9750000000000005,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000233.regrid.nc
2000-08-28,2.9925294463374046,305.3,295.1375,6.487500000000001,210.32500000000002,1.0699999999999998,0.016411250000000002,2.5,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000241.regrid.nc
2000-09-05,3.84453193732096,302.7625,292.4125,10.6125,186.5625,0.69375,0.015478750000000003,3.9250000000000003,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000249.regrid.nc
2000-09-13,3.8158533065261215,302.975,293.225,8.2375,189.9625,0.8675000000000002,0.015248750000000002,3.1375,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000257.regrid.nc
2000-09-21,3.429657544941552,302.98749999999995,293.25,2.5500000000000003,178.5125,0.8275000000000001,0.015432500000000002,3.5,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000265.regrid.nc
2000-09-29,3.6764050415099128,302.425,289.1375,2.35,196.0,0.8325,0.013137500000000002,3.8625000000000003,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000273.regrid.nc
2000-10-07,3.3827000401320246,296.98749999999995,280.8875,0.1375,219.4125,0.8137500000000001,0.00770875,3.5375000000000005,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000281.regrid.nc
2000-10-15,3.6514946480633412,300.76250000000005,284.0625,0.0,204.1125,1.05,0.009025000000000002,2.3125,30.525,-82.43333330000002,HiQ_LAI_WGS84_5km_8day_2000289.regrid.nc
