date,LAI,tmmx,tmmn,pr,srad,vpd,sph,vs,lat,lon
2000-02-18,0.2557874649137696,297.13750000000005,281.025,1.7750000000000001,181.77500000000003,0.98875,0.0069925000000000005,5.575,30.73333333333333,-99.93333330000002
2000-02-26,0.415231939837526,295.81250000000006,278.99999999999994,0.1375,202.3625,1.1375000000000002,0.004913750000000001,4.65,30.73333333333333,-99.93333330000002
2000-03-05,0.430463879675052,297.6875,280.2375,0.0,214.13750000000002,1.1812500000000001,0.0061975,4.95,30.73333333333333,-99.93333330000002
2000-03-13,0.4944481977375939,296.5625,277.3625,0.0,223.6375,1.00125,0.005790000000000001,4.875,30.73333333333333,-99.93333330000002
2000-03-21,0.515231939837526,302.3875,284.8,1.25,220.1875,1.43,0.0086275,4.775,30.73333333333333,-99.93333330000002
2000-03-29,0.5096801375751199,297.475,280.975,0.65,238.275,1.16625,0.006092499999999999,4.5,30.73333333333333,-99.93333330000002
2000-04-06,0.520072008625086,299.06249999999994,282.96250000000003,3.0125,247.38750000000002,1.26375,0.00715375,5.2125,30.73333333333333,-99.93333330000002
2000-04-14,0.5048400687875599,302.7375,287.4625,0.07500000000000001,271.77500000000003,1.5425000000000002,0.0091125,4.6875,30.73333333333333,-99.93333330000002
2000-04-22,0.515231939837526,303.975,286.83750000000003,0.75,277.9125,1.7362499999999998,0.008535,4.800000000000001,30.73333333333333,-99.93333330000002
2000-04-30,0.5743761891125081,303.7375,290.3875,1.5625,279.03749999999997,1.49625,0.011508750000000002,5.1,30.73333333333333,-99.93333330000002
2000-05-08,0.5695361203249482,306.4125,291.5125,0.0,283.5875,1.9650000000000003,0.0112675,5.8375,30.73333333333333,-99.93333330000002
2000-05-16,0.5743761891125081,305.0125,290.5375,2.7125,259.225,1.5475,0.012371250000000002,4.8125,30.73333333333333,-99.93333330000002
2000-05-24,0.584056326687628,308.01249999999993,294.325,2.0125,294.6125,1.93375,0.014142500000000002,5.1375,30.73333333333333,-99.93333330000002
2000-06-01,0.6591442492749822,303.51249999999993,292.91249999999997,3.6375,261.6375,1.2837500000000002,0.013533749999999999,4.15,30.73333333333333,-99.93333330000002
2000-06-09,0.7152319398375262,302.925,292.3875,7.2250000000000005,262.81250000000006,0.9862500000000001,0.014883750000000001,5.737500000000001,30.73333333333333,-99.93333330000002
2000-06-17,0.8490526038737904,304.1,293.84999999999997,5.512500000000001,267.2875,1.1875,0.015200000000000002,5.137500000000001,30.73333333333333,-99.93333330000002
2000-06-25,0.8048400687875601,307.0,294.275,0.0,302.13750000000005,1.7174999999999998,0.01445625,4.225,30.73333333333333,-99.93333330000002
2000-07-03,0.7435008016113842,308.41249999999997,292.8625,0.0,345.6,2.07,0.012875000000000003,4.762499999999999,30.73333333333333,-99.93333330000002
2000-07-11,0.6850682858112487,311.0375,295.20000000000005,0.0,341.20000000000005,2.95875,0.011135,3.825,30.73333333333333,-99.93333330000002
2000-07-19,,310.61249999999995,295.27500000000003,0.42500000000000004,335.3625,2.86,0.011303750000000001,3.775,30.73333333333333,-99.93333330000002
2000-07-27,,307.9875,294.46250000000003,0.8750000000000001,280.475,2.19875,0.012386250000000001,3.2625,30.73333333333333,-99.93333330000002
2000-08-04,,308.37500000000006,292.625,0.0,306.8125,2.1137500000000005,0.012417500000000001,4.925,30.73333333333333,-99.93333330000002
2000-08-12,,309.0625,293.0125,0.0,308.0,2.51125,0.01072875,3.6000000000000005,30.73333333333333,-99.93333330000002
2000-08-20,,307.8,292.67500000000007,0.48750000000000004,279.9875,2.08625,0.01204375,4.025,30.73333333333333,-99.93333330000002
2000-08-28,0.5103918710499661,310.3125,292.7625,0.0,290.45,2.725,0.01061375,3.9500000000000006,30.73333333333333,-99.93333330000002
2000-09-05,0.5048400687875599,309.7375,292.1,0.6875,272.97499999999997,2.5362500000000003,0.01100625,3.6875,30.73333333333333,-99.93333330000002
2000-09-13,0.4383605071750498,305.55,288.6125,0.2,259.975,1.7250000000000003,0.010617500000000002,3.4375000000000004,30.73333333333333,-99.93333330000002
